number,status,problem_url
1,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/1
3,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/3
5,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/5
7,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/7
9,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/9
10,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/10
11,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/11
12,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/12
14,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/14
15,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/15
17,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/17
18,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/18
20,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/20
23,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/23
25,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/25
28,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/28
30,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/30
32,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/32
33,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/33
36,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/36
38,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/38
39,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/39
40,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/40
41,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/41
42,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/42
43,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/43
44,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/44
50,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/50
51,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/51
52,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/52
60,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/60
61,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/61
62,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/62
64,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/64
65,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/65
66,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/66
68,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/68
70,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/70
74,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/74
75,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/75
77,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/77
78,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/78
80,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/80
81,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/81
82,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/82
84,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/84
85,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/85
86,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/86
87,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/87
89,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/89
90,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/90
91,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/91
92,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/92
96,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/96
97,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/97
98,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/98
99,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/99
100,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/100
101,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/101
102,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/102
103,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/103
104,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/104
106,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/106
107,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/107
108,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/108
111,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/111
112,https://teorth.github.io/erdosproblems/,https://www.erdosproblems.com/112
